ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
272,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
273,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,0
277,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill,13
279,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,5
280,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,4
281,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,9
284,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
285,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,Nope!,Friendly,3
286,Male,Class of 2025,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
287,Male,Class of 2027,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,11
288,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
291,Male,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
292,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
306,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,3
313,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
317,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
319,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,0
324,Male,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,0
327,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Chill,0
328,Male,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Organized,2
331,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
333,Male,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
334,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,3
335,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
342,Male,Class of 2026,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,4
344,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,"Yup, all the time",Responsible,8
345,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Reserved,3
347,Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,7
349,Male,Class of 2027,I am introverted,10PM or earlier,In the room,Hanging out with friends,"Yup, but not always",Organized,4
